,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
3954,Deeper,English,None,52min,2019,13+,"During ultra deep-diving, one of the most dangerous sports in the world, a person can suffer the most brutal death due to the smallest malfunction or error. But Pascal Bernabé wants to set the world record for the deepest dive ever. Watch the film where he reveals about his resolve for his goal and preparations for the dive which could very well be his last."
3955,Oorukku Nooruper,Tamil,5,1 h 29 min,2003,All,"The story follows Balan (Kaushik), a young artist who becomes disillusioned by the current political situation of his society. He joins the revolutionary organization Ooruku Nooruper, accidentally kills a priest and is sentenced to death. The film examines various issues related to capital punishment."
3956,Blackia,Punjabi,6.3,2 h 21 mins,2019,13+,"In 1970’s Punjab gold smuggling was on its high. Gama's father was part of the international gold smuggling. His mother wants to see him living a respectful life so he refuses to get corrupted. Later his father’s enemies force him to step into the world of crime. He reaches the top of this business and realizes he is just a puppet of anti national agencies, so he tries to rectify his mistake."
3957,Little Maa Star,Telugu,None,2 h 21 min,1995,NR,"Little Maa Star is a 1995 Indian Telugu film, directed by Sasi Mohan and Produced by S Vijaya Bhaskar Reddy. The film stars Raja Ravindra, Heera and Simbu in lead roles. The music of the film was composed by T Rajendra."
3958,Gopaal Krishna,Hindi,6.9,2 h 9 min,1979,All,Mathura is ruled by Kansa who claimed the throne by killing off seven of his nephews. The eighth child was whisked away to safety and grows up to become Lord Krishna.
3959,Mad About Dance,Hindi,5,1 h 57 min,2014,13+,Aarav (Saahil Prem) is a passionate dancer and has an undying rage for the art of dance. His dream is to train an Indian dance troupe for the world's best dance championship for which he needs to get an approval for a loan from a bank. The rest of the film follows how Aarav and his group of desi friends struggle to win a dance-off. Music of the film has been composed by Dr. Zues.
3960,Jeeban Trishna,Bengali,None,2 h 12 min,None,NR,"Haranath Samanta got married twice. His first child was Debkamal, but incidentally Deb never came to know about that. Deb and Sakuntala were closely associated from their childhood. Sakuntala by profession was an artist and Deb run a home for the homeless children. Rajnath Samanta the second child of Haranath was a social worker and a big lover of art. He came in touch with Deb and Sakuntala ..."
3961,Halla Bol,Hindi,6.1,2 h 22 min,2008,13+,"Ashfaque, a street play actor becomes a superstar after relocating to Mumbai. He compromises his ideals while climbing the ladder of fame. Will Ashfaque ever be able to reform himself."
3962,Hera Pheri,Hindi,6.8,2 h 35 min,1976,All,"Best friends and con-artists Vijay and Ajay sever their friendship when Vijay discovers that his father's murderer may be Ajay's long-lost father, setting into motion a bloody saga of familial revenge and emotional turmoil."
3963,Flight 192,Kannada,5,1 h 25 min,2016,16+,An FBI agent has her family taken hostage while she is on a flight to Washington DC. The agent then has to make a decision that could cost the lives of her husband and her son.
3964,Jab Yaad Kisi Ki Aati Hai,Hindi,6.5,2 h 23 min,None,NR,"Jab Yaad Kisi Ki Aati Hai is a love story of Ravi, a fireman, who falls for Roopa, a simple village girl. Their relationship takes a turn when Jagirdar, who also loves Roopa, tries to separate them."
3965,Annabelle: Creation,Hindi,6.5,1 h 49 min,2017,13+,"She’s back! In “Annabelle: Creation”, years after the tragic death of his little girl, a dollmaker’s possessed creation targets a nun and orphans that he has welcomed into his home."
3966,Nishant Tanwar: Dilli Se Hoon B*@!&#%D,Hindi,7,59min,2018,18+,"Delhi boy Nishant Tanwar’s latest stand-up special “Dilli Se Hoon B*@!&#%D” is a code for all Delhiites to abide by. Known as bhai by his fans, Nishant shares hilarious life experiences, the background he comes from, his dad, his friends, his girlfriend and his girlfriend's boyfriend."
3967,Bad Boys for Life,Tamil,6.6,2 h 3 min,2020,18+,The Bad Boys Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) are back together for one last ride in the highly anticipated Bad Boys for Life.
3968,Bad Ass 2: Bad Asses,English,5.6,1 h 30 min,2014,18+,Frank Vega (Danny Trejo) teams up with grumpy old agoraphobic Bernie Pope (Danny Glover) to kick ass and clean up the streets of L.A.
3969,Iccha Moyee Maa,Bengali,None,2 h 15 min,2017,13+,A Bengali devotional film about people dealing with troubles. Will they be blessed with the solutions to their problems?
3970,Aamne Samne,Hindi,6.4,2 h 12 min,1982,All,"Aamne Samne  is a 1982 Hindi feature film directed by Ashim Samanta and starring Mithun Chakraborty in a dual role, alongside Bindiya Goswami, Aarti Gupta, Tarun Ghosh, Dinesh Thakur, Kamal Kapoor and Leela Mishra in important roles. Gopi, a simpleton, plays along when Jyoti mistakes him for Johnny and offers him work. He, however, soon finds himself on the run from the police and the mob."
3971,Prema Katha Chitram 2,Telugu,4.8,2 h 14 min,2019,13+,Bindu (Siddhi Idnani) is head over heels for Sudheer (Sumanth Ashwin) but he falls for another girl Nandu (Nandita Swetha). Bindu who is unable to bear that commits suicide. Her spirit possesses Nandu and gives a hard time to Sudheer and his friends. How Sudheer drives the spirit away from Nandu's body and saves her life is the rest of the story of Prema Kadha Chitram 2.
3972,Underworld,English,7,2 h 1 min,2003,18+,"Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons."
3973,Honey & Bunny in KungFu Challenge,Tamil,None,51min,2018,7+,The Unbeatable Kung fu legend Choos Lee arrives in the city for a karate competition. He wins all his fights and proclaims that he is an unbeatable champion putting their cities pride on the line. Bunny accepts his challenge to fight. The pets embark on a Journey in search of the legendary Martial Art Guru to learn new skills. Bunny must learn unique martial art tricks to defeat Choos Lee.
3974,Dheena,Malayalam,7.1,2 h 38 min,2001,NR,"Dheena is a 2001 Indian Malayalam film, directed by AR Murugadoss and produced by Beena Soman. The film stars Ajith Kumar, Suresh Gopi and Laila in lead roles. Music of the film was composed by Yuvan Shankar Raja."
3975,Luv And Kush,Hindi,None,58min,2008,All,"Luv Kush is the story of the amazing twins of Ram and Sita. This animated movie made for kids depicts their birth, adolescence, their love for the Vedas, their skills in archery and the final confrontation with Ram."
3976,Raaz,Hindi,6.3,2 h 7 min,None,18+,"A large mansion situated in Nairobi, resounds with the shrieks of its owner Kumar - a young man of Indian origin. Night after night he is woken up by three dreams - a woeful melody of a damsel in distress - a deserted Railway station named Viran Nagar and his own dead body lying on a marble platform. Obsessed by these dreadful dreams he decides to take a trip to India and visit Viran Nagar."
3977,Munde Patiale De,Punjabi,5.1,1 h 44 mins,2012,13+,"Three friends Samar, Gill and Lucky meet after a long time. Samar is of the belief that an ideal wife should not have had any boyfriends in the past. What will he do when his own fiance has a past?"
3978,Asura,Telugu,6.6,2 h 4 min,2015,16+,"Nara Rohit plays a role of jailer of a prison full of extremely dangerous inmates. With his brutality, the hero becomes known as the most dangerous among the lot. However, as one prisoner starts teasing him with an intelligent game, the story shows how Rohit comes out of the troubles."
3979,Django Unchained,English,8.4,2 h 45 min,2012,18+,"Two years before the Civil War, Django, a slave, finds himself accompanying an unorthodox German bounty hunter named Dr. King Schultz on a mission to capture the vicious Brittle brothers. Their mission successful, Schultz frees Django, and together they hunt the South’s most-wanted criminals."
3980,Walk the Walk,English,4.1,1 h 27 min,None,18+,"Previously lost, this is a sordid psychedelic saga starring Bernie Hamilton (brother of jazz drummer, Chico) as a desperate junkie trawling the L.A. hippie rock underground, and produced by the notorious carny barker of exploitation films, Kroger Babb."
3981,UNTRACEABLE,Tamil,6.2,1 h 36 min,2008,13+,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal"
3982,Journey's End,English,6.7,1 h 47 min,2017,16+,"Led by young officer Stanhope, whose mental health is rapidly disintegrating, a group of British soldiers await their fate in an Aisne dugout during the end of World War I."
3983,Siyavar Ram,Hindi,None,1 h 35 min,2020,All,"The Legend of Siya Ram is an ancient epic tale which follows Prince Ram's quest to rescue his beloved wife Sita from the clutches of Ravan with the help of an army of monkeys led by the monkey God, Hanuman."
3984,Laal Kaptaan,Hindi,7.3,2 h 32 min,2019,18+,"In late 18th century Bundelkhand, a bounty hunter wanders in search of a man he has sought for 20 long years. A mysterious young woman obstinately attaches herself to him. Meanwhile, a convoy led by a devious leader makes an arduous journey to the Yamuna, as a prophecy hangs over his infant heir. Somewhere, a ‘junglee’ tracker pieces together a trail as he follows a scent."
3985,Boothayyana Maga Ayyu,Kannada,8.3,2 h 25 min,1974,NR,"Boothayyana Maga Ayyu is a 1974 Indian Kannada film, directed by ""Siddalingaiah"" and Produced by ""JN Veeraswamy, S P Varadaraj, Siddalingaiah, J Chandulal Jain"".The film Stars ""Vishnuvardhan, Lokesh, L V Sharada, Bhavani, Balakrishna, Venkatarao Thalageri, Dinesh, Lokanath, Joker Shyam"", in lead roles. The film had musical score by ""G K Venkatesh""."
3986,Ishk Actually,Hindi,2.6,1 h 43 min,2013,NR,"Gia is at a crossroads in her life, with the arrows pointing towards Neil in one direction and Kabir in the opposite direction. She grapples with making a decision as she's torn between the two worlds that she's been living in. Love is the unanswered emotion that leads to a series of life altering situations. Amazed at life's sense of timing, she treads along a path that she believes will le ..."
3987,Ami Achi Sei Je Tomar,Bengali,None,2 h 3 min,2017,13+,"A Bengali film about the love of Priya and Bhaskar which remains unfulfilled. But, what happens when Angshuman arrives?"
3988,Sundari - Bengali,Bengali,None,2 h 20 min,1998,NR,"Sundari is a 1998 Indian Bengali film, directed by Swapan Saha and produced by Asim Sarkar. The film stars Prosenjit, Rituparna Sengupta, Anamika Saha and Subhendu Chatterjee in lead roles. Music of the film was composed by Anupam Dutta."
3989,Ujda Chaman,Hindi,6.9,1 h 55 min,2019,13+,"Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli, a Hindi lecturer with Premature Balding & in quest of a beautiful wife. After facing several rejections as a prospective groom because of his baldness, Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever."
3990,Kunju Daivam,Malayalam,7.7,1 h 33 min,2018,All,One day little Joseph prayed for somebodies death to skip exam.But this time it was his grandfather who died.Joseph thought that he should save someone from death for god to forgive him. Joseph starts working towards saving a person not only through prayers but also by his deeds.
3991,Sri Lanka By Mini Magic Bus,English,None,1h,2020,13+,"Four Italian globetrotters go on a trip to a foreign country and raise funds to help the local people. During their visit to Sri Lanka, they help in getting funds for a bus that would be useful the Ibbawale children. Watch this film where the Italians play their roles of Good Samaritans as they travel the island, experience its cuisine and explore the region."
